resource_id,type,network_address,state,next_state,finaud_decision,next_finaud_decision,state_num,suspended_jobs,scheduler_priority,cpuset,besteffort,deploy,expiry_date,desktop_computing,last_job_date,available_upto,last_available_upto,drain,gpumodel,core,cpu,gpu,gpudevice,host,ip,fall,devel,mig,migdevice,total_mem,cpumodel,n_cpus,n_cores,n_gpus,mem_per_gpu,cpubrand,scratch1_loc,scratch1
329,default,bigfoot7,Alive,UnChanged,YES,NO,1,NO,0,24,YES,NO,0,NO,1651050510,2147483647,0,NO,A100,263,42,136,0,bigfoot7,129.88.198.145,NO,YES,YES,13,192,EPYC 7452,2,64,2,96,amd,/var/tmp,417
315,default,bigfoot7,Alive,UnChanged,YES,NO,1,NO,0,10,YES,NO,0,NO,1651234664,2147483647,0,NO,A100,249,42,136,0,bigfoot7,129.88.198.145,NO,YES,YES,9,192,EPYC 7452,2,64,2,96,amd,/var/tmp,417
496,default,bigfoot12,Alive,UnChanged,YES,NO,1,NO,0,63,YES,NO,0,NO,1651494018,2147483647,0,NO,A100,430,47,141,1,bigfoot12,129.88.198.152,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
471,default,bigfoot12,Alive,UnChanged,YES,NO,1,NO,0,38,YES,NO,0,NO,1651494018,2147483647,0,NO,A100,405,47,141,1,bigfoot12,129.88.198.152,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
436,default,bigfoot12,Alive,UnChanged,YES,NO,1,NO,0,3,YES,NO,0,NO,1651494018,2147483647,0,NO,A100,370,46,140,0,bigfoot12,129.88.198.152,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
241,default,virgo4,Absent,UnChanged,NO,NO,2,NO,0,0,YES,NO,0,NO,1649061709,2147483647,0,NO,T4,175,10,14,0,virgo4,129.88.179.133,YES,NO,NO,,4,vcpu,1,2,1,4,intel,/var/tmp,
157,default,bigfoot9,Alive,UnChanged,NO,NO,1,NO,0,57,YES,NO,0,NO,1651476214,2147483647,2147483647,NO,A100,93,4,6,1,bigfoot9,129.88.198.149,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
210,default,bigfoot10,Alive,UnChanged,YES,NO,1,NO,0,41,YES,NO,0,NO,1651495819,2147483647,0,NO,A100,146,6,8,1,bigfoot10,129.88.198.150,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
224,default,bigfoot10,Alive,UnChanged,YES,NO,1,NO,0,55,YES,NO,0,NO,1651495819,2147483647,0,NO,A100,160,6,8,1,bigfoot10,129.88.198.150,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,383
432,default,bigfoot11,Alive,UnChanged,YES,NO,1,NO,0,63,YES,NO,0,NO,1651485802,2147483647,0,NO,A100,366,45,139,1,bigfoot11,129.88.198.151,NO,NO,NO,,192,EPYC 7452,2,64,2,96,amd,/var/tmp,382
